,Run,Window Size,Number of Obstacles,Momentum Enabled,Tagger Average Speed,Taggee Average Speed,Run Length,End State,Winner
89,1697413533,640,10,False,1.465717077255249,1.3171859979629517,171,TAGGER_OOB,TAGGEE
90,1697413537,640,10,False,1.2561476230621338,1.5828999280929563,103,TAGGER_OOB,TAGGEE
91,1697413558,640,10,False,1.6479365825653076,1.196580410003662,109,TAGGER_OOB,TAGGEE
92,1697413561,640,10,False,1.5174329280853271,1.5565462112426758,115,TAGGEE_OOB,TAGGER
93,1697413565,640,10,False,1.753313064575195,1.530148983001709,129,TAGGER_OOB,TAGGEE
94,1697413573,640,10,False,1.4360151290893557,1.1619089841842651,119,TAGGER_OOB,TAGGEE
95,1697413584,640,10,False,1.7534868717193604,1.4946794509887695,118,TAGGER_HIT_OBS,TAGGEE
96,1697413590,640,10,False,1.7677664756774902,1.2482491731643677,126,TAGGER_OOB,TAGGEE
97,1697413593,640,10,False,1.6905996799468994,1.585976481437683,121,TAGGER_OOB,TAGGEE
98,1697413596,640,10,False,1.6887702941894531,1.3408918380737305,177,TAGGER_OOB,TAGGEE
99,1697413599,640,10,False,1.507493495941162,1.5909888744354248,119,TAGGER_OOB,TAGGEE
100,1697413602,640,10,False,1.7504128217697144,1.3898036479949951,102,TAGGEE_OOB,TAGGER
101,1697413608,640,10,False,1.7616705894470217,1.4719016551971436,121,TAGGEE_OOB,TAGGER
102,1697413611,640,10,False,1.7060699462890625,1.4663660526275637,124,TAGGER_OOB,TAGGEE
103,1697413615,640,10,False,1.6255881786346436,1.3147614002227783,104,TAGGER_OOB,TAGGEE
104,1697413622,640,10,False,1.3195720911026,1.294664978981018,152,TAGGEE_OOB,TAGGER
105,1697413626,640,10,False,1.6056900024414062,1.4760204553604126,121,TAGGER_OOB,TAGGEE
106,1697413628,640,10,False,1.7677316665649414,1.1653196811676023,100,TAGGEE_OOB,TAGGER
107,1697413630,640,10,False,1.6779283285140991,1.5909487009048462,100,TAGGER_OOB,TAGGEE
108,1697413632,640,10,False,1.5743862390518188,1.3511075973510742,102,TAGGER_HIT_OBS,TAGGEE
109,1697413645,640,10,False,1.6965463161468506,1.5506441593170166,105,TAGGEE_OOB,TAGGER
110,1697413651,640,10,False,1.2601617574691772,1.3971078395843506,253,TAGGER_OOB,TAGGEE
111,1697413658,640,10,False,1.3574697971343994,1.529531955718994,115,TAGGEE_OOB,TAGGER
112,1697413663,640,10,False,1.7619370222091677,1.5851144790649414,213,TAGGEE_HIT_OBS,TAGGER
113,1697413670,640,10,False,1.3421382904052734,1.571401596069336,110,TAGGER_OOB,TAGGEE
114,1697413673,640,10,False,1.302747130393982,1.4772881269454956,106,TAGGER_OOB,TAGGEE
115,1697413675,640,10,False,1.468975305557251,1.4580655097961426,114,TAGGEE_OOB,TAGGER
116,1697413901,640,10,False,1.6915916204452517,1.578456163406372,127,TAGGEE_OOB,TAGGER
117,1697413914,640,10,False,1.705474615097046,1.5031423568725586,103,TAGGER_OOB,TAGGEE
118,1697413930,640,10,False,1.4610180854797363,1.5882441997528076,114,TAGGEE_HIT_OBS,TAGGER
119,1697413938,640,10,False,1.6338392496109009,1.195339560508728,101,TAGGER_OOB,TAGGEE
120,1697413941,640,10,False,1.4939861297607422,1.5856292247772217,112,TAGGEE_OOB,TAGGER
121,1697413943,640,10,False,1.7563811540603638,1.3673650026321411,158,TAGGER_OOB,TAGGEE
122,1697413951,640,10,False,1.4393694400787354,1.1466983556747437,179,TAGGER_HIT_OBS,TAGGEE
123,1697413954,640,10,False,1.3371890783309937,1.5286858081817627,119,TAGGER_OOB,TAGGEE
124,1697413956,640,10,False,1.5367286205291748,1.5520015954971311,121,TAGGEE_OOB,TAGGER
125,1697413962,640,10,False,1.6838995218276978,1.1346091032028198,212,TAGGER_OOB,TAGGEE
126,1697413972,640,10,False,1.4180676937103271,1.3674497604370117,106,TAGGEE_OOB,TAGGER
