,Run,Window Size,Number of Obstacles,Momentum Enabled,Tagger Average Speed,Taggee Average Speed,Tagger Distance Covered,Taggee Distance Covered,Tagger Avg Left/Avg Right,Taggee Avg Left/Avg Right,Run Length,End State,Winner
121,1702247840,640,10,False,2.473684310913086,2.22631573677063,224.381591796875,205.44000244140625,0.26/0.25,0.26/0.24,95,TAGGER_HIT_OBS,TAGGEE
122,1702247842,640,10,False,2.460317373275757,2.2142856121063232,145.8476104736328,132.87623596191406,0.24/0.31,0.24/0.29,63,TAGGEE_OOB,TAGGER
123,1702247844,640,10,False,2.4778761863708496,2.230088472366333,267.90826416015625,222.8672637939453,0.27/0.29,0.24/0.21,113,TAGGER_OOB,TAGGEE
124,1702247851,640,10,False,2.461538553237915,2.215384721755981,141.65692138671875,131.6923370361328,0.30/0.19,0.21/0.32,65,TAGGEE_OOB,TAGGER
125,1702247853,640,10,False,2.4647886753082275,2.2183098793029785,169.9076690673828,152.69375610351562,0.22/0.25,0.27/0.27,71,TAGGEE_OOB,TAGGER
126,1702247857,640,10,False,2.482269525527954,2.2340426445007324,320.3518371582031,296.5181884765625,0.21/0.29,0.24/0.26,141,TAGGEE_OOB,TAGGER
127,1702247861,640,10,False,2.466216325759888,2.2195944786071777,176.70858764648438,153.0408172607422,0.27/0.23,0.28/0.21,74,TAGGEE_OOB,TAGGER
128,1702247865,640,10,False,2.470588207244873,2.22352933883667,201.45391845703125,184.0528259277344,0.29/0.25,0.23/0.24,85,TAGGER_OOB,TAGGEE
129,1702247870,640,10,False,2.478813648223877,2.230932235717773,266.3133239746094,238.1625366210937,0.27/0.25,0.23/0.23,118,TAGGEE_HIT_OBS,TAGGER
130,1702247874,640,10,False,2.472222328186035,2.2249999046325684,211.7640075683593,184.0406188964844,0.27/0.21,0.32/0.19,90,TAGGER_OOB,TAGGEE
131,1702247879,640,10,False,2.472527503967285,2.2252748012542725,188.3837432861328,193.6568298339844,0.16/0.29,0.27/0.22,91,TAGGER_OOB,TAGGEE
132,1702247882,640,10,False,2.4609375,2.21484375,141.15191650390625,136.81993103027344,0.31/0.19,0.28/0.20,64,TAGGER_OOB,TAGGEE
133,1702247884,640,10,False,2.462686538696289,2.216418027877808,154.37979125976562,144.38339233398438,0.28/0.25,0.29/0.24,67,TAGGER_OOB,TAGGEE
134,1702247887,640,10,False,2.46794867515564,2.221153736114502,182.0774841308593,165.40733337402344,0.27/0.22,0.21/0.26,78,TAGGEE_OOB,TAGGER
135,1702247893,640,10,False,2.4782607555389404,2.230434894561768,273.296142578125,231.0578155517578,0.21/0.27,0.26/0.26,115,TAGGEE_OOB,TAGGER
136,1702247903,640,10,False,2.4782607555389404,2.230434894561768,252.95974731445312,186.34225463867188,0.28/0.23,0.31/0.23,115,TAGGER_OOB,TAGGEE
137,1702247907,640,10,False,2.4793388843536377,2.231405019760132,265.5040283203125,260.53759765625,0.19/0.29,0.26/0.26,121,TAGGER_OOB,TAGGEE
138,1702247911,640,10,False,2.4809160232543945,2.2328243255615234,283.22381591796875,281.7093505859375,0.19/0.29,0.23/0.24,131,TAGGER_OOB,TAGGEE
139,1702247915,640,10,False,2.463235378265381,2.216911792755127,160.97177124023438,141.1886749267578,0.31/0.23,0.26/0.20,68,TAGGER_HIT_OBS,TAGGEE
140,1702247919,640,10,False,2.485954999923706,2.2373595237731934,359.41876220703125,276.708251953125,0.26/0.24,0.28/0.18,178,TAGGER_HIT_OBS,TAGGEE
141,1702247924,640,10,False,2.472527503967285,2.2252748012542725,212.84429931640625,181.8508758544922,0.21/0.27,0.27/0.24,91,TAGGEE_OOB,TAGGER
142,1702247927,640,10,False,2.482269525527954,2.2340426445007324,311.2335510253906,307.8282165527344,0.23/0.26,0.26/0.25,141,TAGGER_OOB,TAGGEE
143,1702247934,640,10,False,2.461538553237915,2.215384721755981,151.93312072753906,138.27915954589844,0.22/0.31,0.21/0.24,65,TAGGER_HIT_OBS,TAGGEE
144,1702247938,640,10,False,2.4691357612609863,2.222222328186035,193.81375122070312,174.1297149658203,0.26/0.25,0.27/0.25,81,TAGGEE_OOB,TAGGER
145,1702247943,640,10,False,2.481203079223633,2.233082771301269,306.2738342285156,257.9565124511719,0.24/0.20,0.25/0.24,133,TAGGER_OOB,TAGGEE
146,1702247948,640,10,False,2.4886362552642822,2.23977279663086,522.5389404296875,405.4322509765625,0.26/0.21,0.24/0.24,220,TAGGER_OOB,TAGGEE
147,1702247954,640,10,False,2.472222328186035,2.2249999046325684,215.5762634277344,181.3051300048828,0.26/0.25,0.21/0.31,90,TAGGER_OOB,TAGGEE
148,1702247956,640,10,False,2.4734041690826416,2.2260637283325195,213.07066345214844,203.5462951660156,0.24/0.27,0.26/0.27,94,TAGGEE_HIT_OBS,TAGGER
149,1702247961,640,10,False,2.4761905670166016,2.2285714149475098,244.1818084716797,226.64356994628903,0.29/0.23,0.25/0.25,105,TAGGER_OOB,TAGGEE
150,1702247966,640,10,False,2.475961446762085,2.228365421295166,248.6331024169922,216.9485626220703,0.27/0.24,0.28/0.20,104,TAGGER_OOB,TAGGEE
151,1702247970,640,10,False,2.4647886753082275,2.2183098793029785,158.5428466796875,147.8540802001953,0.26/0.20,0.26/0.20,71,TAGGEE_OOB,TAGGER
152,1702247973,640,10,False,2.466216325759888,2.2195944786071777,176.87220764160156,157.44937133789062,0.24/0.27,0.22/0.27,74,TAGGER_OOB,TAGGEE
153,1702247976,640,10,False,2.4683544635772705,2.221518993377685,180.9426422119141,168.9117889404297,0.26/0.25,0.26/0.23,79,TAGGER_OOB,TAGGEE
154,1702247978,640,10,False,2.483221530914306,2.2348992824554443,353.2531433105469,312.9369812011719,0.26/0.27,0.24/0.26,149,TAGGER_HIT_OBS,TAGGEE
155,1702247982,640,10,False,2.4867725372314453,2.238095283508301,430.2280883789063,404.5079650878906,0.25/0.24,0.26/0.26,189,TAGGER_OOB,TAGGEE
156,1702247992,640,10,False,2.4860334396362305,2.2374300956726074,400.2722778320313,384.2347412109375,0.27/0.23,0.24/0.25,179,TAGGEE_OOB,TAGGER
157,1702247996,640,10,False,2.460317373275757,2.2142856121063232,145.99172973632812,135.10467529296875,0.27/0.28,0.28/0.25,63,TAGGER_HIT_OBS,TAGGEE
158,1702247998,640,10,False,2.4846625328063965,2.236196279525757,378.4617919921875,282.5521850585937,0.25/0.26,0.28/0.21,163,TAGGER_OOB,TAGGEE
159,1702248004,640,10,False,2.488789319992065,2.239910364151001,516.7462158203125,440.771484375,0.22/0.24,0.24/0.25,223,TAGGER_OOB,TAGGEE
160,1702248013,640,10,False,2.469512224197388,2.22256088256836,195.5615234375,171.40414428710938,0.27/0.22,0.25/0.23,82,TAGGEE_OOB,TAGGER
161,1702248016,640,10,False,2.46212124824524,2.215909004211426,149.73089599609375,135.64772033691406,0.30/0.21,0.19/0.31,66,TAGGEE_OOB,TAGGER
162,1702248021,640,10,False,2.4809160232543945,2.2328243255615234,305.8626708984375,229.0655212402344,0.25/0.26,0.21/0.30,131,TAGGEE_HIT_OBS,TAGGER
163,1702248024,640,10,False,2.46212124824524,2.215909004211426,153.64376831054688,142.91954040527344,0.22/0.29,0.22/0.23,66,TAGGER_OOB,TAGGEE
164,1702248029,640,10,False,2.470588207244873,2.22352933883667,198.29122924804688,180.42735290527344,0.29/0.21,0.26/0.21,85,TAGGEE_OOB,TAGGER
165,1702248032,640,10,False,2.4657533168792725,2.2191781997680664,160.02703857421875,154.6341552734375,0.18/0.31,0.22/0.27,73,TAGGEE_OOB,TAGGER
166,1702248034,640,10,False,2.4844720363616943,2.236024856567383,382.2333984375,153.85899353027344,0.21/0.23,0.20/0.31,161,TAGGEE_OOB,TAGGER
